time_s,meas_F,ekf_F,mhe_F
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.502373534000000177e+02,2.918949999999999810e-07,2.918949989433223559e-07,1.459474674447847065e-07
6.003164712000000236e+02,4.378420000000000107e-07,4.378413648324215030e-07,2.432456653878034558e-07
9.004747068000000354e+02,7.297370000000000446e-07,7.297369483591926476e-07,3.648684980817051837e-07
1.200632941999999957e+03,2.627050000000000115e-06,2.627049814093319813e-06,8.173047376658360008e-07
1.500791177999999945e+03,2.946130000000000031e-06,2.946129791513200124e-06,1.172109023173106834e-06
1.800949413999999933e+03,2.946130000000000031e-06,2.946129791513200124e-06,1.425540631316835061e-06
